weather_profile,step_policy,is_reference_variant,reachable_hex_count,unreachable_hex_count,mean_access_min_base_speed,p90_access_min_base_speed,spearman_vs_m0,spearman_vs_m3,spearman_vs_reference_variant,senior_vulnerable_count,senior_hidden_count,jaccard_vs_m3_vulnerable_877,jaccard_vs_m3cost_senior_exposure,jaccard_vs_reference_vulnerable,senior_hidden_senior_population
dry,steps_allowed,False,4383,0,3.545529294893121,6.917718815738069,0.9959252871368749,0.9973919639165799,0.9983799101638864,780,543,0.6737373737373737,0.8850967007963595,0.8893956670467503,329207.8824116179
dry,steps_penalty,False,4383,0,3.573844704331224,7.0483402436689975,0.9936756996969348,0.9958483515496341,1.0,789,550,0.6743718592964824,0.8867497168742922,0.8996579247434435,331665.52095216094
dry,steps_barrier,False,4356,27,3.558422976614226,6.9907834147071295,0.9933962288680519,0.9953053645467349,0.9991182677901245,809,570,0.6627218934911243,0.867109634551495,0.8837988826815643,337867.4042456851
rain,steps_allowed,False,4383,0,3.7582610525867093,7.332781944682352,0.9959252871368749,0.9973919639165799,0.9983799101638864,864,613,0.6660287081339713,0.9322974472807991,0.9851767388825542,366324.2304781623
rain,steps_penalty,True,4383,0,3.788275386591097,7.471240658289138,0.9936756996969348,0.9958483515496341,1.0,877,623,0.6673003802281369,0.9274725274725275,1.0,370243.9530404536
rain,steps_barrier,False,4356,27,3.771928355211079,7.410230419589559,0.9933962288680519,0.9953053645467349,0.9991182677901245,896,642,0.6554621848739496,0.9085037674919269,0.9787946428571429,376089.26282264397
snow,steps_allowed,False,4383,0,4.39645632566747,8.577971331515204,0.9959252871368749,0.9973919639165799,0.9983799101638864,1135,861,0.6199677938808373,0.7711267605633803,0.7680140597539543,492656.65319051384
snow,steps_penalty,False,4383,0,4.431567433370717,8.739941902149555,0.9936756996969348,0.9958483515496341,1.0,1143,868,0.619887730553328,0.7657342657342657,0.7672790901137357,495691.7410065428
snow,steps_barrier,False,4356,27,4.41244449100164,8.668571434236842,0.9933962288680519,0.9953053645467349,0.9991182677901245,1159,884,0.6120348376880443,0.7551724137931034,0.7566867989646247,500141.36161848507
