hex_id,weather_profile,step_policy,access_cost_m4_senior_min,access_cost_m4_senior_reachable,senior_vulnerability_m4,senior_vulnerable_m4,senior_hidden_m4,access_min_speed_very_slow,access_min_speed_slow,access_min_speed_base,access_min_speed_optimistic
8930e034493ffff,dry,steps_allowed,4.950297913170443,True,0.015424685617781748,False,False,6.364668745504856,5.569085152316749,4.950297913170443,4.1638019830405595
8930e036003ffff,dry,steps_allowed,2.5138910283158094,True,0.0093115960948222,False,False,3.2321456078346125,2.8281274068552857,2.5138910283158094,2.114487780826382
8930e036007ffff,dry,steps_allowed,6.537629862763287,True,0.03811831026740488,True,True,8.405524109267084,7.3548335956086985,6.537629862763287,5.498941006062578
8930e03600bffff,dry,steps_allowed,3.650846982149503,True,0.017050282203189472,False,False,4.693946119906505,4.107202854918191,3.650846982149503,3.0708058728360306
8930e03600fffff,dry,steps_allowed,2.402992446098013,True,0.012294185179075722,False,False,3.089561716411731,2.7033665018602644,2.402992446098013,2.0212085995216933
8930e03601bffff,dry,steps_allowed,2.6817735963404457,True,0.009552556781954524,False,False,3.4479946238662875,3.0169952958830013,2.6817735963404457,2.255697417482618
8930e036023ffff,dry,steps_allowed,1.1676009514581411,True,0.008072630796697313,False,False,1.5012012233033245,1.3135510703904087,1.1676009514581411,0.9820942582358196
8930e036027ffff,dry,steps_allowed,3.4718217501216113,True,0.031242397307019547,True,True,4.463770821584929,3.905799468886813,3.4718217501216113,2.9202239019714487
8930e03602bffff,dry,steps_allowed,1.9378663043361923,True,0.010981946206060439,False,False,2.49154239128939,2.1800995923782165,1.9378663043361923,1.6299810036472646
8930e03602fffff,dry,steps_allowed,2.7533677642895173,True,0.024776596984814322,True,True,3.540044268372237,3.097538734825707,2.7533677642895173,2.315916811084641
8930e036033ffff,dry,steps_allowed,4.740231049288403,True,0.026339021620463185,True,True,6.094582777656519,5.332759930449454,4.740231049288403,3.987110228373423
8930e036037ffff,dry,steps_allowed,1.191647552915464,True,0.008834138186066376,False,False,1.5321182823198825,1.340603497029897,1.191647552915464,1.002320371611138
8930e03603bffff,dry,steps_allowed,8.076236943334282,True,0.041144169916318536,True,False,10.383733212858363,9.085766561251067,8.076236943334282,6.793096494393321
8930e036053ffff,dry,steps_allowed,1.8744359810293623,True,0.006556207579435729,False,False,2.409989118466323,2.1087404786580324,1.8744359810293623,1.576628395258342
8930e036057ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e036063ffff,dry,steps_allowed,1.8921200411460855,True,0.00930218943897645,False,False,2.4327257671878244,2.128635046289346,1.8921200411460855,1.5915028383471745
8930e036067ffff,dry,steps_allowed,2.4713266191960392,True,0.012159146414223694,False,False,3.1774199389663362,2.780242446595544,2.4713266191960392,2.078685941379846
8930e03606bffff,dry,steps_allowed,1.709767735072458,True,0.008405509079636728,False,False,2.198272802236018,1.9234887019565152,1.709767735072458,1.4381223939861796
8930e03606fffff,dry,steps_allowed,3.2453037354219187,True,0.015955771307006296,False,False,4.172533374113896,3.650966702349659,3.2453037354219187,2.7296947307287165
8930e036073ffff,dry,steps_allowed,2.2555991575542715,True,0.011088491221340596,False,False,2.900056059712635,2.5375490522485555,2.2555991575542715,1.8972329362606022
8930e036077ffff,dry,steps_allowed,3.648381471670058,True,0.017936856012556318,False,False,4.690776177861504,4.104429155628815,3.648381471670058,3.0687320789748154
8930e03607bffff,dry,steps_allowed,3.510035031677318,True,0.017254898014738725,False,False,4.5129021835851235,3.9487894106369827,3.510035031677318,2.95236591449494
8930e036083ffff,dry,steps_allowed,1.409110224097087,True,0.004929077699857406,False,False,1.8117131452676833,1.585249002109223,1.409110224097087,1.1852328987732508
8930e036087ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e03608bffff,dry,steps_allowed,2.1255064602473057,True,0.007434871700449611,False,False,2.732794020317965,2.391194767778219,2.1255064602473057,1.7878091721706308
8930e036093ffff,dry,steps_allowed,3.8400723555515306,True,0.011835371187411618,False,False,4.937235885709111,4.3200813999954715,3.8400723555515306,3.2299674018657734
8930e036097ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e03609bffff,dry,steps_allowed,3.734082876347546,True,0.011389534747754894,False,False,4.800963698161131,4.200843235890989,3.734082876347546,3.140817372628777
8930e0360a3ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e0360a7ffff,dry,steps_allowed,1.4262860057400657,True,0.00785225587216286,False,False,1.8337962930943703,1.6045717564575739,1.4262860057400657,1.1996798179122048
8930e0360abffff,dry,steps_allowed,5.297084984727556,True,0.03088814876243771,True,True,6.810537837506859,5.959220607818501,5.297084984727556,4.4554920432287854
8930e0360afffff,dry,steps_allowed,0.7022680980529317,True,0.0040953716277103485,False,False,0.902916126068055,0.7900516103095481,0.7022680980529317,0.5906927927548024
8930e0360b3ffff,dry,steps_allowed,1.614395523075479,True,0.007019290286511806,False,False,2.07565138681133,1.816194963459914,1.614395523075479,1.357902776418627
8930e0360b7ffff,dry,steps_allowed,3.7347620253093297,True,0.020353020547125428,False,False,4.8018368896834245,4.201607278472996,3.7347620253093297,3.1413886194190623
8930e0360bbffff,dry,steps_allowed,5.193040941116613,True,0.023842665027820207,True,True,6.676766924292789,5.84217105875619,5.193040941116613,4.367978361686871
8930e0360c7ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e0360cbffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e0360d7ffff,dry,steps_allowed,10.433128320811633,True,0.033958267803251015,True,False,13.414022126757816,11.737269360913087,10.433128320811633,8.775528494140627
8930e03610fffff,dry,steps_allowed,2.607091538152831,True,0.01767759045702612,False,False,3.3519748347679257,2.9329779804219345,2.607091538152831,2.1928807330257456
8930e036117ffff,dry,steps_allowed,9.298389840476498,True,0.06724058049638555,True,False,11.955072652041212,10.46068857053606,9.298389840476498,7.821075566755932
8930e036123ffff,dry,steps_allowed,8.270735563995547,True,0.06035168962467853,True,True,10.633802867994277,9.30457750949499,8.270735563995547,6.956693465042983
8930e036133ffff,dry,steps_allowed,3.666578526980818,True,0.02664689879706871,True,True,4.714172391832481,4.12490084285342,3.666578526980818,3.0840380133483514
8930e03613bffff,dry,steps_allowed,2.416703212204979,True,0.017555105863725932,False,False,3.107189844263545,2.7187911137306013,2.416703212204979,2.0327410196116644
8930e036147ffff,dry,steps_allowed,7.589089877305512,True,0.05148804632969742,True,False,9.757401270821374,8.537726111968702,7.589089877305512,6.383346625770992
8930e036153ffff,dry,steps_allowed,1.2407367330892338,True,0.011166107614951022,False,False,1.5952329425433007,1.395828824725388,1.2407367330892338,1.0436103362432807
8930e03616bffff,dry,steps_allowed,5.9665687647801855,True,0.039946785916988616,True,True,7.671302697574525,6.712389860377709,5.9665687647801855,5.018609241403894
8930e036173ffff,dry,steps_allowed,1.571896562896732,True,0.010483287861495433,False,False,2.0210098665815126,1.7683836332588236,1.571896562896732,1.3221559874832325
8930e036187ffff,dry,steps_allowed,0.6061341404290623,True,0.003205797970108794,False,False,0.7793153234087945,0.6819009079826951,0.6061341404290623,0.5098324545665011
8930e03618bffff,dry,steps_allowed,13.287283925504031,True,0.070325968000394,True,False,17.08365076136233,14.948194416192035,13.287283925504031,11.176220124255726
8930e036197ffff,dry,steps_allowed,1.1408478653648793,True,0.005705118854763096,False,False,1.4668043983262735,1.2834538485354892,1.1408478653648793,0.9595916624564405
8930e0361a3ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e0361a7ffff,dry,steps_allowed,1.4979708458299592,True,0.010104760452704762,False,False,1.9259625160670906,1.6852172015587041,1.4979708458299592,1.2599754778009002
8930e0361abffff,dry,steps_allowed,2.671567381109468,True,0.019414490662159032,False,False,3.434872347140745,3.0055133037481516,2.671567381109468,2.2471127504659076
8930e0361afffff,dry,steps_allowed,3.820696534148418,True,0.027767561149029247,True,True,4.91232411533368,4.29828360091697,3.820696534148418,3.2136699819939962
8930e0361b3ffff,dry,steps_allowed,0.8672376043314215,True,0.004587129466569845,False,False,1.115019776997542,0.9756423048728492,0.8672376043314215,0.7294521905591396
8930e0361b7ffff,dry,steps_allowed,3.491697205832172,True,0.01847034320476603,False,False,4.489324978927079,3.9281593565611934,3.491697205832172,2.936941574999023
8930e0361bbffff,dry,steps_allowed,3.588627174632776,True,0.021181565007583232,False,False,4.613949224527855,4.037205571461873,3.588627174632776,3.0184714552985965
8930e0361c3ffff,dry,steps_allowed,1.2960188023117734,True,0.007388115624946445,False,False,1.666309888686566,1.458021152600745,1.2960188023117734,1.0901092729725197
8930e0361d3ffff,dry,steps_allowed,4.692668498177909,True,0.025598499513594556,True,True,6.033430926228741,5.279252060450148,4.692668498177909,3.9471043442617924
8930e0361dbffff,dry,steps_allowed,4.036790825758562,True,0.02347320838317878,True,True,5.190159633118151,4.541389678978382,4.036790825758562,3.3954315356847715
8930e036223ffff,dry,steps_allowed,0.6097346087739666,True,0.0018998062320661857,False,False,0.7839444969950999,0.6859514348707124,0.6097346087739666,0.5128608858846447
8930e036227ffff,dry,steps_allowed,5.2396638837905325,True,0.01632705423566628,False,False,6.736710707730685,5.894621869264349,5.2396638837905325,4.407193920945308
8930e03622bffff,dry,steps_allowed,2.121631275318213,True,0.006610414007627923,False,False,2.7278116396948455,2.3868351847329894,2.121631275318213,1.7845496708284034
8930e03622fffff,dry,steps_allowed,5.311073230311903,True,0.01654919934068469,False,False,6.828522724686733,5.974957384100891,5.311073230311903,4.4672578572716946
8930e036233ffff,dry,steps_allowed,7.313995138871603,True,0.025876167726044907,True,True,9.403708035692063,8.228244531230553,7.313995138871603,6.151958528022844
8930e036237ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e036267ffff,dry,steps_allowed,1.290120532890081,True,0.0015203579517768305,False,False,1.6587263994301045,1.4513855995013412,1.290120532890081,1.0851481117767037
8930e0362a7ffff,dry,steps_allowed,4.673141334944437,True,0.022973450429385145,True,True,6.008324573499991,5.257284001812492,4.673141334944437,3.930679627523358
8930e0362afffff,dry,steps_allowed,9.780001248809901,True,0.039292939260023675,True,False,12.574287319898446,11.002501404911138,9.780001248809901,8.226169274699917
8930e036307ffff,dry,steps_allowed,8.950278682742884,True,0.08592951805290253,True,True,11.507501163526566,10.069063518085745,8.950278682742884,7.528271789222986
8930e036317ffff,dry,steps_allowed,1.3327666683862431,True,0.012794821315159167,False,False,1.713557145068027,1.4993625019345236,1.3327666683862431,1.1210186930351578
8930e036333ffff,dry,steps_allowed,3.8100361195764507,True,0.036582226192645215,True,True,4.898617868026865,4.286290634523507,3.8100361195764507,3.2047032781484166
8930e03633bffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e036383ffff,dry,steps_allowed,2.950327933829398,True,0.021362816648142408,False,False,3.793278772066369,3.319118925558073,2.950327933829398,2.4815842434079047
8930e036387ffff,dry,steps_allowed,12.588233434122232,True,0.083741138886579,True,True,16.184871558157155,14.161762613387511,12.588233434122232,10.588233729635522
8930e03638bffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e03638fffff,dry,steps_allowed,1.0391478231859184,True,0.007071196204364633,False,False,1.336047201239038,1.169041301084158,1.0391478231859184,0.8740495709040434
8930e036393ffff,dry,steps_allowed,4.358032861414104,True,0.03840211934258318,True,True,5.60318510753242,4.902786969090867,4.358032861414104,3.665635117077284
8930e03639bffff,dry,steps_allowed,1.6029258745486463,True,0.010604020812736963,False,False,2.0609046958482597,1.803291608867227,1.6029258745486463,1.3482554084988614
8930e0363abffff,dry,steps_allowed,7.8384804060365605,True,0.075257051402413,True,True,10.078046236332721,8.81829045679113,7.8384804060365605,6.593114360217667
8930e0363c3ffff,dry,steps_allowed,1.253995066727083,True,0.007351320550205271,False,False,1.6122793715062496,1.4107444500679682,1.253995066727083,1.0547622056582941
8930e0363c7ffff,dry,steps_allowed,4.72700706941606,True,0.031098563016281073,True,True,6.077580517820649,5.317882953093068,4.72700706941606,3.9759872546490223
8930e0363d3ffff,dry,steps_allowed,0.7731888310264419,True,0.004330765292920536,False,False,0.9940999256054254,0.8698374349047471,0.7731888310264419,0.6503457457231754
8930e0363d7ffff,dry,steps_allowed,1.556715081141677,True,0.009886082014269184,False,False,2.0014908186107276,1.7513044662843866,1.556715081141677,1.3093865168481396
8930e0363dbffff,dry,steps_allowed,2.3959854887499317,True,0.00884899464872464,False,False,3.0805527712499123,2.6954836748436732,2.3959854887499317,2.015314897079382
8930e036417ffff,dry,steps_allowed,6.1396731601398855,True,0.0073036099102853245,False,False,7.893865491608425,6.907132305157371,6.1396731601398855,5.164211069276539
8930e036423ffff,dry,steps_allowed,2.096577833666975,True,0.003686953585476142,False,False,2.6956000718575392,2.3586500628753466,2.096577833666975,1.7634766825236237
8930e036427ffff,dry,steps_allowed,1.8868159475803905,True,0.002556228357663842,False,False,2.425906218317645,2.1226679410279394,1.8868159475803905,1.5870414512358424
8930e03642bffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e03642fffff,dry,steps_allowed,1.7343084761054013,True,0.006059483415026685,False,False,2.2298251835640874,1.9510970356185764,1.7343084761054013,1.4587641387802441
8930e036433ffff,dry,steps_allowed,7.203165180494005,True,0.008570001239095008,False,False,9.261212374920865,8.103560828055755,7.203165180494005,6.058737067705238
8930e036437ffff,dry,steps_allowed,2.909824896289705,True,0.0034622787540778935,False,False,3.741203438086764,3.2735530083259183,2.909824896289705,2.4475162679072286
8930e036467ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e036477ffff,dry,steps_allowed,2.0930671225486095,True,0.002490120640919843,False,False,2.691086300419641,2.354700512867186,2.0930671225486095,1.7605237479380826
8930e0364a3ffff,dry,steps_allowed,3.5888975794381412,True,0.004269737517871271,False,False,4.614296887849039,4.037509776867909,3.5888975794381412,3.018698898592829
8930e0364abffff,dry,steps_allowed,1.0246029077831615,True,0.0012189490833058076,False,False,1.3173465957212078,1.1526782712560568,1.0246029077831615,0.8618155299110705
8930e0364afffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e0364b3ffff,dry,steps_allowed,0.0995357920363064,True,0.00011841094751880498,False,False,0.12797458976096537,0.1119777660408447,0.0995357920363064,0.08372169423614557
8930e0364b7ffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e036507ffff,dry,steps_allowed,6.1113604121067855,True,0.024693735111769522,True,True,7.857463386994439,6.8752804636201335,6.1113604121067855,5.140396608314118
8930e03650bffff,dry,steps_allowed,0.0,True,0.0,False,False,0.0,0.0,0.0,0.0
8930e03650fffff,dry,steps_allowed,6.186736307311396,True,0.029539947153167576,True,True,7.95437525225751,6.96007834572532,6.186736307311396,5.203796894000239
8930e036513ffff,dry,steps_allowed,2.1216053974451627,True,0.006504929522336344,False,False,2.727778368143781,2.386806072125808,2.1216053974451627,1.7845279043931275
