candidate_priority_rank,rank,district_name,admin_name,admin_code,hex_id,primary_reason,vulnerability_m3_final,demand_index_final,access_cost_m0,access_cost_m3,registered_population,registered_senior_population,centroid_x,centroid_y,candidate_node_id,candidate_snap_distance_m,candidate_x,candidate_y,nearest_bus_stop_m,nearest_bus_stop_id,nearest_bus_stop_name,nearest_bus_passengers_sum,bus_stop_count_300m,bus_stop_count_400m,nearest_road_m,nearest_road_name,nearest_road_highway,nearest_road_edge_length_m,recommended_action,site_feasibility,manual_check_required,manual_check_items
32,378,강남구,대치2동,11230790,8930e1c85b3ffff,near_400m_distance,0.03423293096132456,0.1815761935969008,392.3970580706714,424.5903519430474,1856.6408827377797,291.6385818287131,961542.5923330338,1944296.0579876057,7236467875,32.13783769057122,961572.1587522626,1944308.654315063,222.4574517263546,122000134,은마아파트,408407.0,3,10,2.2691187523986624e-07,,service,18.369731681198537,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
33,125,송파구,잠실6동,11240770,8930e1cabb3ffff,high_demand_plus_near_400m_distance,0.044579801097338154,0.2743682533065044,333.0938574222598,359.620386403474,1344.0175924732569,274.88497248515404,964908.4709277682,1945968.3872684543,8173596261,15.783341288552968,964920.8246058236,1945958.5638016155,143.32411740530608,123000690,잠실역2번출구,34565.0,7,11,2.8812478322250015e-07,,service,51.28966152300926,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
34,316,강남구,수서동,11230750,8930e1c8c33ffff,near_400m_distance,0.035812921983398464,0.2219613726502077,329.73961288075077,359.9747114833131,1403.552714099978,560.410593677151,965165.9592273405,1943073.1764022282,5359377851,20.70198160358666,965156.267181773,1943091.469469085,232.97661282851803,122000718,고속철도수서역,1024158.0,8,11,7.517114856678712e-08,밤고개로5길,residential,129.98232598836353,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
35,614,용산구,한강로동,11030730,8930e1d9dd3ffff,near_400m_distance,0.029173905831107846,0.16051317213594962,384.8209523526299,412.1278276103236,1034.4346708292737,163.2307184786292,952779.8548434817,1948094.9886862906,5878389593,41.47201973904355,952739.9610617976,1948083.656669516,131.9957704921933,102000318,용산역3번출구.용산차고지,36993.0,9,15,4.763213307699608e-07,,service,111.51633640970886,access_route_improvement_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
36,264,광진구,자양4동,11050670,8930e1c134bffff,near_400m_distance,0.03728953264603202,0.21401785931602973,363.9121167785872,389.33548580394665,2095.223380816303,414.12647873933383,961637.0836904419,1948876.4730001388,5725972839,32.69363155216862,961618.6675360831,1948903.4863080203,269.5357483435931,104000123,영동교골목시장,666278.0,2,10,8.555314398800545e-08,동일로18나길,path,19.236748344283335,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
37,308,광진구,자양4동,11050670,8930e1cac8fffff,near_400m_distance,0.036137708992426465,0.20989729689289544,356.92748896497073,385.0462387972418,2095.133398722172,414.10869353889495,961592.4363985395,1948249.7718946226,5711069812,27.971279656952223,961565.6983308716,1948241.557990372,245.44619726710707,104000130,자양4동주민센터앞,76954.0,2,4,1.543645627994048e-07,능동로3다길,footway,71.20307891088855,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
38,528,송파구,잠실7동,11240780,8930e1cae23ffff,near_400m_distance,0.03079479095906061,0.18709239241802794,344.3729652054314,370.1204540669706,1850.3983555583798,484.3922890085908,962330.6230632802,1945594.3019058323,2650120623,36.945034560416886,962367.53421685,1945595.8837784012,218.42954640487778,123000065,잠실종합운동장,1797003.0,1,2,7.387178322483541e-08,올림픽로4길,residential,64.1148177323392,new_stop_or_access_improvement_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
39,252,영등포구,당산1동,11190550,8930e1d9487ffff,near_400m_distance,0.03802302962164296,0.22213295079307038,353.2252238388896,381.8820833518959,2186.5055870648953,374.2804361254286,946964.0640214013,1947614.598813991,8465459443,39.64110894176398,946954.4405018842,1947653.054052779,245.39752109759874,118000083,영등포구청,740906.0,5,13,7.071370174744703e-08,,service,82.35002629570795,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
40,564,강서구,등촌3동,11160540,8930e0ae997ffff,near_400m_distance,0.030126038424261356,0.18989922725393935,332.12763796421643,356.4663845145699,1991.0808496391696,531.6505931792949,942183.2709342039,1951870.7587765614,10651562640,57.25804336401606,942206.8760007962,1951818.5928455235,203.84200481327338,115000951,가양동탑산문화공원,73765.0,9,16,8.542776582209596e-08,,service,34.600436644685566,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
41,368,은평구,진관동,11120710,8930e1d1637ffff,near_400m_distance,0.034490156956122404,0.20942805152298402,343.01313208135855,368.35176179451463,1828.175867430487,345.87019566107534,948788.4335995171,1960298.489267252,4677666784,7.975794369031136,948795.1179924662,1960294.1381539784,178.79145626735897,111000341,래미안909동앞,513410.0,2,4,4.6674590263441405e-07,,service,42.17596840545565,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
42,448,중랑구,중화2동,11070620,8930e1c000bffff,near_400m_distance,0.032320794085420664,0.20348707216047532,331.566580047901,355.7244708761594,2354.752006409954,563.504491873176,962391.0573134806,1956204.5801720587,3739976363,19.930786889103214,962397.4641130028,1956185.707197044,274.34148383548285,106000293,제일시장,47717.0,2,7,1.0917036639106727e-08,중랑천로,secondary,51.027944854577584,stop_relocation_or_pedestrian_connection_review,desktop_possible_road_proxy,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
43,314,금천구,독산3동,11180540,8930e03650fffff,near_400m_distance,0.03585208718878084,0.22508046018368427,328.0855307320815,355.16783992725027,2153.5947016147666,496.15978425668163,947043.9246218794,1942222.0843471712,2828263166,8.309504379941915,947048.6776346592,1942228.9002647584,243.17504839628137,117000061,독산고개,624447.0,4,9,2.5910240612653325e-07,,residential,104.82003925084369,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
44,389,송파구,잠실본동,11240710,8930e1caa87ffff,near_400m_distance,0.0339245105710086,0.1920689740176488,367.2848960703998,396.655672692445,2313.5392943960514,375.32355697596824,962984.8024005762,1945012.6167499474,4186486199,69.1626199243565,962921.3528824174,1944985.0917315057,314.266249938305,123000074,아시아선수촌아파트삼거리.성현교회,699389.0,0,4,3.809165852310147e-07,도곡로62길,residential,117.25374795798756,new_bus_stop_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
45,394,송파구,오금동,11240600,8930e1cf663ffff,near_400m_distance,0.033816620883479476,0.2112014664647957,325.39954061014953,357.9917630539744,2507.0182704510007,537.6607397508515,966939.3462492403,1945163.1468848027,1810765764,45.23385531536325,966959.1630986566,1945203.8088344105,247.49127163597677,123000159,오금역.오금동현대아파트,1328486.0,2,8,9.382061814551541e-08,,service,216.79617648681608,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
46,494,송파구,잠실2동,11240790,8930e1ca877ffff,near_400m_distance,0.03140710480091436,0.20195005520204581,326.15072923725086,348.42112601401595,2632.9779420053237,350.54314424205864,963750.7649718786,1945997.7511057742,4666458066,16.384681377534864,963766.5434035984,1946002.1668589725,138.55863209940776,123000051,잠실리센츠아파트앞,96605.0,6,7,4.0257145456129074e-07,,service,123.17940168784008,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
47,467,강동구,암사2동,11250580,8930e1c1b03ffff,near_400m_distance,0.03203511949537966,0.19797864588175834,335.2829055941776,362.8544946784788,1673.6267965097793,333.0532213953629,966838.4465094975,1950253.6913081515,3844539314,32.9714693594365,966833.374238488,1950221.1123293687,268.7103610723454,124000055,암사역.선사현대아파트,740878.0,4,6,2.5365878114086696e-07,상암로,residential,68.12682287783217,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
