hex_id,origin_node_id,access_cost_m3_k1_stored,mean_cost_k1,mean_cost_k2,mean_cost_k3
8930e034493ffff,3850688233,299.54983756893597,299.54983756893597,329.0907876065078,365.2895075123281
8930e036003ffff,9497472086,158.75279418224312,158.7527941822431,163.26967419872813,212.48735479258664
8930e036007ffff,5197316643,391.9305275409888,391.93052754098875,426.15777650960945,482.3959922757571
8930e03600bffff,12997286801,225.8844642185889,225.88446421858893,251.29152150551624,260.298912547267
8930e03600fffff,2824511530,141.81591820711395,141.81591820711395,145.56627766017255,177.75343187926288
8930e03601bffff,12985315357,159.51623668776,159.51623668776,183.57738770001976,235.12662446920922
8930e036023ffff,3891569274,72.53262218993984,72.53262218993984,203.56024811691904,250.21934905087403
8930e036027ffff,2824515103,199.9806030487568,199.9806030487568,207.43086053804387,215.8717967862649
8930e03602bffff,8476416344,115.2422977972489,115.2422977972489,197.5162817916896,244.16828040208304
8930e03602fffff,3891672697,154.96557184116932,154.96557184116932,206.82417449308846,243.39771507263518
8930e036033ffff,3891750780,264.2796686815498,264.2796686815498,353.7231814440206,420.3209220734204
8930e036037ffff,2824456402,68.23349499984417,68.23349499984417,129.50290677542029,174.99219636720306
8930e03603bffff,2824569612,481.53604698064686,481.5360469806468,506.74566212541856,518.5725578408995
8930e036053ffff,4289350018,109.52625899766915,109.52625899766915,216.0672458534067,299.1106857017589
8930e036057ffff,5308010738,0.0,0.0,70.505660446467,114.24210150389281
8930e036063ffff,9524303941,116.64696256006195,116.64696256006195,141.9999918094924,156.21504985011143
8930e036067ffff,3891569311,154.76380588009613,154.76380588009616,163.40763752839337,180.91483032953306
8930e03606bffff,9055661236,102.32284501672012,102.32284501672012,103.74099139845788,127.89433725297492
8930e03606fffff,3879719522,189.37061200670632,189.37061200670632,190.09588053439109,190.53663922994417
8930e036073ffff,2824543974,138.1625016544021,138.1625016544021,172.59411464765665,196.343026775641
8930e036077ffff,2824511528,230.09821604844757,230.09821604844757,239.88111593736335,277.12657236475866
8930e03607bffff,4921711544,201.0721922660024,201.07219226600242,226.65328037293204,243.21290911421048
8930e036083ffff,2828282230,84.58440914685329,84.58440914685329,187.35121058898653,224.1304225628805
8930e036087ffff,2824486644,0.0,0.0,55.15207985328793,77.08500436216097
8930e03608bffff,2824490997,135.42736641486084,135.42736641486084,257.48106882459797,340.4094661591237
8930e036093ffff,2824486274,223.02754292769754,223.02754292769754,235.14601631167133,240.48581313325533
8930e036097ffff,1308523974,0.0,0.0,65.41923237882013,125.80236609767375
8930e03609bffff,2824486271,213.4717114775666,213.4717114775666,225.5901848615404,258.6945361074847
8930e0360a3ffff,3891750797,0.0,0.0,173.38230787750618,234.9389479887361
8930e0360a7ffff,4095042150,90.71830130393033,90.71830130393033,151.62797073578344,217.73232291444836
8930e0360abffff,3891750790,313.1484071409973,313.1484071409973,328.2204774668315,340.9131360400438
8930e0360afffff,2824440489,39.0085524991279,39.0085524991279,74.98873384650096,168.3733748891477
8930e0360b3ffff,5751831183,95.379276197675,95.37927619767498,131.82441602636052,153.3698886271621
8930e0360b7ffff,4095042138,226.56687654531794,226.56687654531794,232.842519566659,239.38179673933908
8930e0360bbffff,2828283094,306.96444869650963,306.96444869650963,341.0107478023623,361.18171511420906
8930e0360c7ffff,4095014439,0.0,0.0,82.08367053601356,136.09158196383382
8930e0360cbffff,3715414233,0.0,0.0,65.72769331014416,121.41990917847028
8930e0360d7ffff,11449643568,607.7883961654692,607.7883961654693,626.799570550699,701.8316473621138
8930e03610fffff,2824633376,179.22840197200446,179.22840197200443,187.60458912457307,202.83013742799722
8930e036117ffff,4124780288,638.274130661592,638.2741306615919,640.0844411287998,641.2977877179223
8930e036123ffff,4123682037,541.6760024026725,541.6760024026723,544.1662313158772,594.8199918744525
8930e036133ffff,10603026400,249.7968667905111,249.7968667905111,252.23784043169002,315.2651240895785
8930e03613bffff,10684021991,162.61124413827702,162.611244138277,165.10147305148183,220.22126898638416
8930e036147ffff,2824629060,520.0587951869262,520.0587951869261,542.3132406851255,571.0914269816152
8930e036153ffff,3891672321,91.6121939508185,91.6121939508185,187.37926873936573,239.5183607287477
8930e03616bffff,10660234069,342.8087678016395,342.8087678016394,375.6037551116909,430.46006511732656
8930e036173ffff,10602988187,104.5375308696454,104.5375308696454,126.79197636784477,155.57016266433445
8930e036187ffff,4127271844,35.10020726787858,35.10020726787858,132.47784709543862,169.18961994822732
8930e03618bffff,10603087419,757.4989408762791,757.4989408762792,801.2244511408694,885.4836286855867
8930e036197ffff,4116414440,71.92440738329742,71.92440738329742,226.0292131231298,278.72495073254214
8930e0361a3ffff,4125223588,0.0,0.0,15.863537856728486,66.22101012119673
8930e0361a7ffff,2824603236,83.12301089176441,83.12301089176441,130.312192408416,148.12049127692137
8930e0361abffff,4124781070,173.59169316929177,173.59169316929177,197.6964059600637,207.35862598444024
8930e0361afffff,2824635699,254.18164675337366,254.1816467533736,282.1150080442095,298.1054009879487
8930e0361b3ffff,436830106,49.32566957892053,49.32566957892053,58.04538497272294,89.48111689128893
8930e0361b7ffff,2824617344,190.3552582644735,190.3552582644735,266.0472769605526,310.0012212303221
8930e0361bbffff,2955768743,233.28003670341093,233.28003670341096,267.9822847393074,298.1719416118301
8930e0361c3ffff,2956210739,90.29244466838038,90.29244466838038,175.37833195513542,253.46620057250948
8930e0361d3ffff,13072323275,251.1167325953349,251.1167325953349,294.2777433040344,310.8053144967996
8930e0361dbffff,3893326059,271.7661934429567,271.7661934429567,298.2132107424253,337.3776343993496
8930e036223ffff,3879555148,34.952092634519346,34.952092634519346,55.25706799441336,76.43687722026881
8930e036227ffff,3879203836,336.42297261297085,336.42297261297085,353.73523291550464,364.16550779090085
8930e03622bffff,1829303757,122.25717555731345,122.25717555731345,186.76938949179151,227.96742749499876
8930e03622fffff,4278630539,343.7487580142071,343.7487580142071,439.53488014545576,488.089858983888
8930e036233ffff,5331126087,425.18904045787247,425.18904045787247,472.19772244266085,513.2951751022999
8930e036237ffff,9498278512,0.0,0.0,76.29899950218953,129.8319673288743
8930e036267ffff,4906952398,74.83194964604685,74.83194964604685,78.0842234390409,98.86228139508675
8930e0362a7ffff,8527260047,308.0336775274902,308.0336775274903,334.9372871662847,361.9001290406839
8930e0362afffff,4906947508,588.1194829104254,588.1194829104254,606.6294705212745,615.2334071581996
8930e036307ffff,5482083066,503.9638159843746,503.96381598437455,550.5713347136751,574.3319522340659
8930e036317ffff,3888599775,92.86136093422894,92.86136093422894,95.55089691144802,123.57496117341616
8930e036333ffff,5482083131,221.821528875399,221.821528875399,244.26098345557224,301.70725652027005
8930e03633bffff,5482083201,0.0,0.0,262.3088977737613,373.00613824600674
8930e036383ffff,3891569124,171.42192544564966,171.42192544564966,180.35801393085507,227.7663471103912
8930e036387ffff,10692604950,685.3419948117615,685.3419948117615,694.278083296967,718.9757044685022
8930e03638bffff,2824526522,0.0,0.0,64.36763269514849,91.30827409955471
8930e03638fffff,2824497834,62.976741768989925,62.976741768989925,121.74067961928912,145.05132765347685
8930e036393ffff,5411817289,289.63525670503145,289.63525670503145,312.9277759026786,324.70441271813485
8930e03639bffff,2824517167,92.29935521905414,92.29935521905414,148.8435743678887,173.4996415598168
8930e0363abffff,4641441856,433.4531779367574,433.4531779367574,618.9101313350145,726.2758470332025
8930e0363c3ffff,5372722927,88.23976804671533,88.23976804671533,100.16065203514026,187.504541785091
8930e0363c7ffff,2824550742,262.500207283787,262.500207283787,301.61883211777194,325.7327332131923
8930e0363d3ffff,13119096722,44.51608512717082,44.51608512717082,59.404136551237016,78.3196094724956
8930e0363d7ffff,2824525780,89.80908341666137,89.80908341666135,113.54490712962536,138.75454408172354
8930e0363dbffff,4994791055,135.2619121580072,135.2619121580072,153.77189976885626,173.093480133246
8930e036417ffff,3192309339,357.0113307772501,357.0113307772501,372.0125187246723,382.0039120007518
8930e036423ffff,4095066421,127.45646696687972,127.45646696687972,148.77402693035108,163.5078848987567
8930e036427ffff,12811186442,111.38132736808419,111.38132736808417,160.2667941831228,197.8901167867581
8930e03642bffff,436845940,0.0,0.0,120.1249100391426,205.99329720669525
8930e03642fffff,2824486267,100.7079165278554,100.7079165278554,120.73482012265276,159.10181893366897
8930e036433ffff,3881947604,415.8713380740309,415.87133807403086,420.64978410057506,481.5306943581647
8930e036437ffff,12987324090,168.11434242797247,168.11434242797247,187.9065510377593,198.51918900645637
8930e036467ffff,852435613,0.0,0.0,199.797872844058,288.32096869504693
8930e036477ffff,9031093341,119.68390791862706,119.68390791862706,174.14500768460164,236.0745811220385
8930e0364a3ffff,3825231309,206.24212678467754,206.24212678467754,210.11864231134587,241.2052357883264
8930e0364abffff,4662901096,60.3257717898971,60.3257717898971,136.5174452070392,170.45528375441953
8930e0364afffff,9102482953,0.0,0.0,73.54405021452142,138.78199528696874
8930e0364b3ffff,3881947622,5.934696314214709,5.934696314214709,60.75409608145533,87.84050550302929
8930e0364b7ffff,436846908,0.0,0.0,65.44358718585038,156.90532043986835
8930e036507ffff,7475266089,352.5485464272738,352.5485464272738,385.64002680324916,401.7422172240146
8930e03650bffff,5370108668,0.0,0.0,72.31046946902049,101.50511874358114
8930e03650fffff,2828263166,355.16783992725027,355.1678399272503,380.81482237459693,420.47280787149504
8930e036513ffff,8460526360,122.23406902051659,122.2340690205166,181.30102730995236,236.49529397631696
8930e036517ffff,2590218682,176.61249936367554,176.61249936367554,209.55138693162286,228.82541982485986
8930e03651bffff,2824484300,30.51199981261492,30.51199981261492,67.38894046676552,102.25049648818056
8930e036523ffff,5281441372,122.64868482804799,122.64868482804799,132.95643941400874,152.7380807570437
