method,threshold(0.8q),vulnerable_count,jaccard_vs_current
min-max (현재),0.028838610230807495,877,1.0
log(1+x) → min-max,0.31101001394008615,877,0.3964968152866242
rank (percentile),0.2998245979130441,877,0.6996124031007752
winsorize p1/p99 → min-max,0.11520351580637206,877,0.9909194097616345
