method,min,p10,p25,median,p75,p90,max
min-max (현재),0.0,0.0,0.02081942037680605,0.041152656474244494,0.06780556002198422,0.1019767791520794,1.0
log(1+x) → min-max,0.0,0.0,0.5362913292670026,0.6174531447385094,0.6771565178908299,0.7260321585855142,1.0
rank (percentile),0.0514487793748574,0.0514487793748574,0.25017111567419575,0.5001140771161305,0.7500570385580653,0.9000228154232262,1.0
winsorize p1/p99 → min-max,0.0,0.0,0.08329435825221634,0.1646435899442641,0.27127655360930636,0.4079888019151254,1.0
