hex_id,analysis_valid_final,access_cost_m0,access_cost_m3,cost_m3_norm_final,demand_norm_final,demand_index_final,vulnerability_m3_final,vulnerability_threshold_final,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,registered_senior_share,poi_total_count,baseline_minmax_product_hidden,winsorize_1_99_product_hidden,log1p_product_hidden,rank_product_hidden,additive_minmax_hidden,delta_cost_m3_minus_m0,delta_pct_m3_over_m0,any_normalization_hidden_flag,robust_core_hidden_flag,variant_hidden_count,normalization_sensitive_flag,district_name,admin_name,admin_code
8930e036007ffff,True,329.6211561479864,391.9305275409888,0.09498606163815898,0.5866912994256961,0.31338768409502765,0.05572749592982076,0.028838610230807495,True,True,2534.26827806746,603.7236516314715,0.23822404946482187,69,True,True,True,True,True,62.30937139300238,0.18903328937123204,True,True,4,False,금천구,독산2동,11180530.0
8930e036027ffff,True,176.00368952189115,199.9806030487568,0.04846616569218086,0.583718806400799,0.3118452150037277,0.028290612388663164,0.028838610230807495,True,False,3395.8965426455297,926.4775457375002,0.2728226652675761,76,False,False,True,True,True,23.976913526865644,0.13622960741333448,True,False,2,True,,,
8930e03602fffff,True,131.96126092381616,154.96557184116932,0.03755657782273279,0.5448282772138129,0.2916643638754727,0.020461885593205997,0.028838610230807495,True,False,3395.8230552920163,926.4574967218513,0.2728226652675761,23,False,False,True,False,True,23.004310917353166,0.17432624359836946,True,False,1,True,,,
8930e036063ffff,True,97.20677230776326,116.64696256006195,0.028269896823679596,0.6349617648373393,0.3384359181182851,0.01795030357893309,0.028838610230807495,True,False,2226.1762252013305,510.58034681909743,0.22935306784750237,393,False,False,True,False,True,19.44019025229869,0.1999880233729984,True,False,1,True,,,
8930e0360abffff,True,280.21456431149545,313.1484071409973,0.07589287338551426,0.401462558066975,0.21726984429753618,0.0304681470884016,0.028838610230807495,True,True,2534.3436631245727,603.7805872027072,0.2382394290040013,88,True,True,False,True,False,32.93384282950183,0.11753080326292932,True,False,3,True,금천구,독산2동,11180530.0
8930e0360b7ffff,True,200.9866880741119,226.56687654531794,0.05490946427603309,0.47185856848737334,0.2537993396789602,0.02590950120969754,0.028838610230807495,True,False,2412.1003800671974,564.9122254984828,0.2341993020550601,134,False,False,False,True,False,25.580188471206043,0.1272730483611611,True,False,1,True,,,
8930e0360bbffff,True,280.4242108202971,306.96444869650963,0.07439416426055465,0.41209698258994126,0.22278819909031333,0.03065761061407502,0.028838610230807495,True,True,2473.132745484962,477.4714815971403,0.19306342632389184,112,True,True,False,True,False,26.54023787621253,0.094643175774934,True,False,3,True,금천구,독산1동,11180520.0
8930e036123ffff,True,383.61107223935073,541.6760024026725,0.131277526338519,0.5446845627970692,0.2915897884117308,0.07150484203877695,0.028838610230807495,True,True,2904.9914822132896,753.1094555415988,0.2592467000859537,17,True,True,True,True,True,158.06493016332172,0.412044754705877,True,True,4,False,관악구,난곡동,11210810.0
8930e036133ffff,True,197.99524045696415,249.7968667905111,0.06053935307068174,0.6449735104331995,0.343631155921108,0.0390462790693525,0.028838610230807495,True,True,2922.3358217783766,750.1037132649058,0.2566795053719846,120,True,True,True,True,True,51.80162633354695,0.2616306645250215,True,True,4,False,관악구,난곡동,11210810.0
8930e036153ffff,True,62.39303410900988,91.6121939508185,0.022202612172151765,0.6509977287062759,0.3467572088361645,0.014453850095417114,0.028838610230807495,True,False,3396.1691884290876,926.5519296868445,0.2728226652675761,45,False,False,True,False,True,29.21915984180861,0.46830804526605335,True,False,1,True,,,
