district_name,admin_name,admin_code,candidate_hex_count,robust_core_hidden_count,normalization_sensitive_count,registered_population_sum,registered_senior_population_sum,mean_delta_cost_m3_minus_m0,p90_delta_cost_m3_minus_m0,mean_delta_pct_m3_over_m0
강서구,우장산동,11160740.0,8,7,1,25145.59205602862,4321.584098631421,40.39068253197104,61.2584656416954,0.15902074884179682
은평구,불광1동,11120520.0,6,5,1,15056.99118618794,3625.6847883667124,66.73123296166268,92.21826848815094,0.2624249276777007
관악구,성현동,11210790.0,5,5,0,21291.065044455394,4509.810774607966,71.12427694649553,113.72274345974954,0.3122613048934718
강동구,천호1동,11250610.0,5,5,0,15030.575192420958,3766.100950006542,25.35325548933729,31.422261762150196,0.0957177141022692
강북구,삼각산동,11090730.0,5,5,0,19686.041161622612,3597.2874858582363,63.86626799945575,96.3734075674981,0.256432262363364
강동구,성내2동,11250660.0,5,5,0,15987.799544976715,3407.29613677693,23.560539557177094,32.30818624394021,0.09036574378943193
은평구,신사1동,11120650.0,5,5,0,13948.780346325548,3307.890035424197,42.80001734082794,75.43704395469702,0.19407416273109662
강서구,화곡1동,11160730.0,5,5,0,14924.632998192075,3115.0844329271486,39.57074041235061,52.977716634660105,0.20455747436932867
양천구,목3동,11150530.0,5,5,0,14286.10615466506,2912.619104948715,55.79898310454598,90.7151926301152,0.2005248568234142
관악구,보라매동,11210520.0,5,4,1,14156.791192787372,3039.2797805850128,51.358202037840805,73.61127076819231,0.21704033267936804
노원구,중계2·3동,11110780.0,4,4,0,13566.643326680613,3549.886137899376,20.710080506762573,23.962168919440213,0.08124114856969739
관악구,난곡동,11210810.0,4,4,0,11671.890684459702,3003.392806420254,71.76441124890206,126.1859390143893,0.2772384796852806
강동구,암사1동,11250720.0,4,4,0,12905.457004193911,2886.6936034087407,19.6442247522304,23.855358020143647,0.0868567213387466
마포구,공덕동,11140770.0,4,4,0,14010.2882058333,2566.611065409539,71.20285226121766,86.75720711324739,0.2832756368682949
도봉구,쌍문4동,11100540.0,4,4,0,10956.461237341204,2535.1811603658316,58.29213430814977,100.29617317031965,0.19359473358867285
성북구,길음1동,11080660.0,4,4,0,14905.017026231826,2404.338979203626,59.25283294399107,90.81278320614199,0.2332815139097045
관악구,청룡동,11210800.0,4,4,0,11725.9144431696,1701.565929857832,68.88091216559638,96.27327645906834,0.2555631990490354
노원구,상계1동,11110650.0,6,3,3,14629.703911306897,3633.2146031389066,31.123351990534747,41.85012219501806,0.10144206534190932
강남구,역삼1동,11230640.0,5,3,2,5597.862702257815,662.0053019746645,55.502129294438305,95.09070859888814,0.23327637576494048
동대문구,청량리동,11060800.0,4,3,1,9207.752429185319,2764.6566239271415,52.138965994452306,79.24519261316581,0.15927362285754496
은평구,불광2동,11120720.0,4,3,1,9125.244665915565,2450.4920913915375,100.20851805686358,138.4889265120986,0.31740515789510704
동작구,사당2동,11200730.0,4,3,1,9782.456357384017,2264.84035665046,61.8053082175249,104.11156319367448,0.21999843857091145
은평구,응암1동,11120590.0,4,3,1,11089.208270346455,2264.824960292876,39.442074037534944,73.0896786714165,0.14685034150167514
중랑구,면목2동,11070520.0,4,3,1,9718.624285340567,2147.474589024339,21.47972144266415,25.748385119312754,0.08545577851950743
동작구,사당1동,11200630.0,4,3,1,10500.407440805073,2060.203144285839,29.172527054073498,38.2528930947238,0.08861536629413747
강남구,개포2동,11230800.0,4,3,1,12203.69083335245,1752.5131531286831,30.16712280653453,36.40340744434305,0.11654601846412659
서초구,반포1동,11220570.0,4,3,1,11379.806796029496,1527.3074388646978,30.911833775510516,36.26053758535034,0.1049701517365491
강남구,역삼2동,11230650.0,4,3,1,9187.250159043093,1035.70228495685,34.713228629948155,48.52322791413144,0.12213762537395759
금천구,시흥2동,11180580.0,3,3,0,11779.86301386819,2963.4875506586636,112.71177688309031,170.53317137268508,0.41988232898484323
노원구,상계5동,11110690.0,3,3,0,10090.875443427518,2710.8935704425376,26.050988628605392,34.10882114847051,0.11946867918502724
도봉구,창1동,11100590.0,3,3,0,11239.103468455442,2664.5819580743355,24.099330907235515,34.41178523278725,0.10647949737537682
강동구,천호3동,11250630.0,3,3,0,12141.405601194007,2527.449362542954,18.12753750739637,22.009138377456186,0.08811400493895478
성동구,행당2동,11040570.0,3,3,0,12280.499271274068,2384.997819143991,84.07446172683869,103.59728653347265,0.3124468831003483
송파구,거여2동,11240540.0,3,3,0,10691.161231605407,2369.289955343486,37.02577537902537,51.11997918482879,0.1369711137427244
서대문구,홍은1동,11130660.0,3,3,0,9926.623939036213,2330.8003473133804,93.1253834114051,163.1041747433646,0.3747932669384694
동작구,신대방1동,11200690.0,3,3,0,10572.62758065819,2091.693089084215,36.51118737228038,44.47015021209276,0.15691850037376753
강동구,명일1동,11250530.0,3,3,0,10234.933525307202,2078.732759489386,22.222742526043287,25.13897689049701,0.08862720104527211
강서구,등촌2동,11160530.0,3,3,0,9824.434120532345,2034.9128120646342,47.65430627154902,64.88933619651517,0.1840123686274453
동작구,상도4동,11200560.0,3,3,0,9494.54163158179,2029.3572381190017,67.00553392539294,87.06219365610166,0.3497554137923821
중랑구,묵1동,11070640.0,3,3,0,9258.610516728777,1982.7756358123102,40.34082644921012,47.069694379030565,0.21940998171521722
구로구,오류1동,11170670.0,3,3,0,9444.548175949652,1969.9558164472155,30.858337683127036,43.14003909464445,0.16115224745758386
중랑구,면목본동,11070710.0,3,3,0,8221.557350120014,1883.9082244100007,30.39094036576064,32.66595045946211,0.12603410352101901
동대문구,답십리2동,11060860.0,3,3,0,7997.826600230355,1874.152628266164,32.0555420325175,41.32696176465744,0.1064354004065018
광진구,중곡4동,11050580.0,3,3,0,7898.112819593698,1867.8788335690515,98.87077466953747,134.16122325804662,0.33819557837716224
강동구,길동,11250740.0,3,3,0,8718.867407973466,1864.9111728451314,29.280398009211655,35.22665980759888,0.12054320184945054
강서구,화곡본동,11160550.0,3,3,0,9562.643499842798,1820.4133099144424,40.009731075320985,51.87888713564291,0.15291225060996128
성북구,월곡1동,11080710.0,3,3,0,7721.89459579203,1723.0339082036955,50.6601902307494,81.43327095746392,0.19466647326028516
구로구,개봉1동,11170720.0,3,3,0,7296.035273297681,1694.870167468434,36.30993552173022,46.148758248514284,0.12357833644012718
광진구,자양1동,11050640.0,3,3,0,8857.028478022234,1657.646418064076,26.683214589141432,32.70461997630406,0.1019318146212158
관악구,중앙동,11210610.0,3,3,0,9109.115482389716,1589.1592396489782,44.7343487091153,60.5494159596126,0.18577005024692642
송파구,송파1동,11240610.0,3,3,0,8506.378039230074,1505.013695393867,23.986814193250456,27.998236247938372,0.08032189820894346
송파구,방이2동,11240580.0,3,3,0,8659.583327264954,1373.4465689405208,19.317876861700313,21.635792752169472,0.084352498011689
서초구,서초4동,11220540.0,3,3,0,7363.120558095725,1152.3228843796237,24.625678001064813,36.72628411616401,0.10941823903429344
양천구,목5동,11150710.0,3,3,0,6411.411609017924,917.6954714464553,21.016324390971874,25.70881674038991,0.07578174244700607
영등포구,여의동,11190540.0,3,3,0,2972.6341231363035,606.9379383915874,15.236806944927688,17.4011535164762,0.07371280627016258
양천구,신월1동,11150570.0,5,2,3,11400.9592246789,3066.2597079045627,29.370047403338436,35.096757055495274,0.09467236342688615
중랑구,상봉1동,11070590.0,4,2,2,10542.466505300488,2330.185924141746,36.53703033686797,47.0728626660191,0.11511404105198952
동작구,상도1동,11200530.0,4,2,2,12474.49597782163,2277.460921799158,69.9866855970758,78.98848667740006,0.31072453876613015
송파구,오금동,11240600.0,4,2,2,10047.012699756106,2156.635982502891,36.43263291462854,49.74691102341088,0.1278906884458303
강남구,도곡2동,11230670.0,4,2,2,11702.352766675953,2075.5165042711124,41.818302485976474,62.42551741852743,0.12676507250592695
송파구,잠실본동,11240710.0,4,2,2,9254.678261856769,1501.3787629723442,22.999803427884316,27.647879974642873,0.07750182533553254
송파구,잠실2동,11240790.0,4,2,2,10594.2183739041,1367.344581674711,26.601807299959702,32.710108513664075,0.07647740809667279
서초구,서초3동,11220530.0,4,2,2,4789.812634809019,834.6144267056744,42.28402560649498,62.086129948749694,0.16602264858357735
양천구,신월2동,11150580.0,3,2,1,8038.959827475123,1895.8384772654176,34.100645688766946,37.44104693242659,0.11433363359563131
중구,동화동,11020730.0,3,2,1,7707.549214442323,1818.1546048744403,53.99445391727394,71.85246524423923,0.15749265936274817
은평구,대조동,11120580.0,3,2,1,8031.252580980414,1749.8957867479605,23.139644863035386,31.44981916713217,0.10835366196283343
강북구,미아동,11090700.0,3,2,1,6508.174939074945,1639.8877814190587,55.48560547395798,93.02155847179675,0.25763926160623446
양천구,목2동,11150520.0,3,2,1,8724.749946248772,1609.8863697840743,61.35686010904609,94.05177690264027,0.2781760724838187
강동구,천호2동,11250730.0,3,2,1,7734.490959874153,1595.5802287813842,26.592595417168127,28.05208905364441,0.08114787857421586
중구,중림동,11020680.0,3,2,1,8317.226777402515,1574.5780176200526,70.80362408433642,79.42424233549926,0.2721220362369325
관악구,서원동,11210640.0,3,2,1,9758.98609311294,1556.802368626434,101.79285651758666,107.43198587317151,0.4742489471110279
동대문구,장안1동,11060870.0,3,2,1,7154.754820207486,1509.6912027972164,20.084845076845472,21.014491638652487,0.0718620334670766
노원구,상계8동,11110720.0,3,2,1,8589.902073468278,1447.6625531211187,21.61820569041244,24.264488802383823,0.07507573557023887
송파구,잠실3동,11240800.0,3,2,1,6717.230697695101,1343.5654791818788,19.48306609029221,21.876069531595988,0.07204167568009906
강동구,상일1동,11250760.0,3,2,1,8463.688027556944,1291.2139504647942,46.47201385059301,58.126363968091496,0.16497358252819458
강서구,가양2동,11160650.0,2,2,0,5528.534162364307,2107.3021453623824,18.720627576220167,20.799215047502067,0.08551420281549493
강서구,가양3동,11160660.0,2,2,0,5982.921495602162,1837.4894471053883,22.34373983123379,23.636641045016642,0.08310578096101148
중구,약수동,11020710.0,2,2,0,6534.5635080980965,1770.2315855283946,103.41893543043471,111.7594888123506,0.31898796568236865
도봉구,창2동,11100600.0,2,2,0,7105.733758415092,1681.9287131259302,17.51852462661911,19.326277036276142,0.09283091257179246
성동구,왕십리2동,11040520.0,2,2,0,8587.934195241582,1659.4554344107462,28.057728263498404,30.402869000570615,0.14944284533251873
구로구,개봉3동,11170650.0,2,2,0,6144.642230353972,1642.9507543689604,35.040456856177286,40.640343411601194,0.15149553004271438
관악구,삼성동,11210820.0,2,2,0,5197.880832757743,1610.1110402822242,83.15455356658526,107.62871115639946,0.2661761304960054
중랑구,신내2동,11070700.0,2,2,0,6205.628198668462,1539.646173599272,29.05143320037179,32.90456031322533,0.12319311661440417
중랑구,면목7동,11070570.0,2,2,0,5953.57466569244,1482.9942970772822,56.526586218679824,62.70827291558495,0.27244000572689975
성동구,금호2·3가동,11040720.0,2,2,0,7268.342872702551,1480.3238893326284,75.63188980228273,75.92568519008563,0.3558621120989866
은평구,역촌동,11120740.0,2,2,0,6390.167632579289,1473.7141167143768,18.532657268258433,19.105161033083217,0.09267616709126947
