hex_id,access_cost_m0,access_cost_m3,cost_gap_m3_minus_m0,cost_gap_ratio_m3_over_m0,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,demand_index_final,m0_rank,m3_rank,rank_shift_m3_minus_m0,abs_rank_shift_m0_m3,m0_frozen_vulnerability,m3_under_m0_frozen_vulnerability,delta_vulnerability_m3_minus_m0,m0_frozen_vulnerable,m3_under_m0_frozen_vulnerable,new_environment_burden_vulnerable,resolved_environment_burden_vulnerable,m0_400_to_m3_over_400,diagnostic_label
8930e034493ffff,266.9186573372034,299.54983756893597,32.63118023173257,1.1222514025705927,True,False,1179.0576314603018,327.1742753308978,0.10156829561342667,3484.0,3433.0,-51.0,51.0,0.01233770955396654,0.013846011851447553,0.0015083022974810133,False,False,False,False,False,no_crossing
8930e036003ffff,133.42479029884484,158.75279418224312,25.32800388339828,1.18982981968095,True,False,2394.377318121782,387.0896092953802,0.2236702699927946,1962.0,2040.0,78.0,78.0,0.014297350672953511,0.017011414173115587,0.002714063500162076,False,False,False,False,False,no_crossing
8930e036007ffff,329.6211561479864,391.9305275409888,62.30937139300238,1.189033289371232,True,True,2534.26827806746,603.7236516314715,0.31338768409502765,3836.0,3856.0,20.0,20.0,0.050079111567911845,0.059545730756383135,0.00946661918847129,True,True,False,False,False,hidden_vulnerable_under_m3_threshold
8930e03600bffff,197.14573703607317,225.8844642185889,28.73872718251573,1.1457740228857052,True,False,2259.993210736219,485.5146553265525,0.18602992072369529,2827.0,2850.0,23.0,23.0,0.017422271366314534,0.019961985951188633,0.002539714584874099,False,False,False,False,False,no_crossing
8930e03600fffff,126.30190524926486,141.81591820711395,15.51401295784909,1.122832770631854,True,False,2294.063162797512,530.9464137565802,0.24817016889672475,1848.0,1827.0,-21.0,21.0,0.015078310895070232,0.016930421598760174,0.001852110703689942,False,False,False,False,False,no_crossing
8930e03601bffff,143.68257877185175,159.51623668776,15.833657915908248,1.1101988706720662,True,False,2413.673791236876,372.6210519520943,0.201076965739452,2111.0,2046.0,-65.0,65.0,0.013776521624931355,0.015294678749788087,0.0015181571248567317,False,False,False,False,False,no_crossing
8930e036023ffff,63.05045137873962,72.53262218993984,9.48217081120022,1.1503902129778816,True,False,2798.533791461915,714.0769198853794,0.29709506722298695,932.0,950.0,18.0,18.0,0.009066567625032699,0.010430090661139731,0.0013635230361070325,False,False,False,False,False,no_crossing
8930e036027ffff,176.00368952189115,199.9806030487568,23.976913526865644,1.1362296074133345,True,False,3395.8965426455297,926.4775457375002,0.3118452150037277,2579.0,2563.0,-16.0,16.0,0.026604637585565385,0.030228976919221,0.0036243393336556143,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e03602bffff,104.6447804341544,115.2422977972489,10.597517363094497,1.1012713421455624,True,False,2441.329164546963,587.0604404591102,0.26928642295705435,1510.0,1474.0,-36.0,36.0,0.013595550424043888,0.01497239006269448,0.001376839638650592,False,False,False,False,False,no_crossing
8930e03602fffff,131.96126092381616,154.96557184116932,23.004310917353166,1.1743262435983695,True,False,3395.8230552920163,926.4574967218513,0.2916643638754727,1940.0,2003.0,63.0,63.0,0.018618212641492587,0.021863855713799667,0.00324564307230708,False,False,False,False,False,no_crossing
8930e036033ffff,217.93082567256508,264.2796686815498,46.348843008984744,1.21267685682347,True,False,2441.8550384224277,575.7990542833148,0.20340292412573518,3052.0,3172.0,120.0,120.0,0.021148528398403452,0.0256463309446178,0.004497802546214347,False,False,False,False,False,no_crossing
8930e036037ffff,57.349682809852325,68.23349499984417,10.883812189991843,1.1897798149307648,True,False,2961.9350666916052,764.9637991468813,0.2842927508048147,853.0,884.0,31.0,31.0,0.007880404679653152,0.009375946421337262,0.0014955417416841095,False,False,False,False,False,no_crossing
8930e03603bffff,432.9834947224182,481.53604698064686,48.55255225822867,1.112134880082104,False,False,2286.2215688112474,528.7332413125814,0.20756811752480364,4115.0,4081.0,-34.0,34.0,0.042917754149766195,0.04773033136474345,0.004812577214977257,True,True,False,False,False,no_crossing
